FROM_PREDIR,FROM_NAME,FROM_SUFFIX,FROM_POSTDIR,TO_PREDIR,TO_NAME,TO_SUFFIX,TO_POSTDIR
,AYRDALECRESCENT,ST,,,AYRDALE,CRES,
,AYRDALE CRESCENT,,,,AYRDALE,CRES,
,AVENUE OF THE REP,AVE,,,AVENUE OF THE REPUBLIC,,
,AVENUE OF THE REP,,,,AVENUE OF THE REPUBLIC,,
,AVENUE OF THE REPUBLIC,AVE,,,AVENUE OF THE REPUBLIC,,
,BONAFFON,ST,,,BONNAFFON,ST,
,DENFELD,PL,,,DENFIELD,PL,
,JAMESTOWN,AVE,,,JAMESTOWN,ST,
N,INDEPENDENCE E,MALL,,N,INDEPENDENCE,MALL,E
N,INDEPENDENCE W,MALL,,N,INDEPENDENCE,MALL,W
S,INDEPENDENCE E,MALL,,S,INDEPENDENCE,MALL,E
S,INDEPENDENCE W,MALL,,S,INDEPENDENCE,MALL,W
,MEETINGHOUSE,DR,,,MEETINGHOUSE,RD,
,MUHFELD,ST,,,MUHLFELD,ST,
,SURGEON GENERAL,CT,,,SURGEON GENERALS,CT,
