STREET_PREDIR,STREET_NAME,STREET_SUFFIX,STREET_POSTDIR
,41ST STREET,DR,
,AVENUE OF THE REPUBLIC,,
,BASIN BRIDGE,RD,
,BRIDGE,,
,COBBS CREEK,PKWY,
,COUNTRY LANE,DR,
,COVERED BRIDGE,PATH,
,FOX RUN,LN,
N,HILL CREEK,DR,
S,HILL CREEK,DR,
E,HILL CREEK,DR,
W,HILL CREEK,DR,
,HILL CREEK,CT,
,HILL CREEK,CIR,
,HILL CREEK,MALL,
,HILL CREEK,PARK,
,HILL CREEK,TER,
,HILL CREEK,PL,
,LAWRENCE COURT,WALK,
,LINCOLN DRIVE,TRL,
,OAK LANE,RD,
E,PIKE,ST,
W,PIKE,ST,
,PLAZA,DR,
,POQUESSING CREEK,DR,
,TERRACE,ST,
,TOOKANY CREEK,PKWY,
,WILLINGS ALLEY,MEWS,
,WOODEN BRIDGE,RD,
